customer_id,name,email,region,customer_type,lead_source,signup_date,recency_days,frequency,monetary,avg_order_value,lifespan_days,orders_per_month,estimated_clv,r_score,f_score,m_score,rfm_score,rfm_total,cluster_id,segment_label,action
C00023,Customer 23,customer23@example.com,West,B2C,Paid,2022-07-23,463.0,8.0,1380.17,172.52125,233.0,1.03,1088.04,5,4,5,545,14,1,Champions,Reward & retain
C00024,Customer 24,customer24@example.com,North,B2C,Referral,2023-10-28,709.0,8.0,868.25,108.53125,172.0,1.4,446.98,1,4,4,144,9,1,At-risk customers,Re-engage now
C00025,Customer 25,customer25@example.com,North,B2B,Referral,2023-07-13,492.0,4.0,384.52,96.13,53.0,2.26,285.26,4,2,3,423,9,5,New customers,Onboard & convert
C00026,Customer 26,customer26@example.com,East,B2B,Referral,2023-03-06,478.0,6.0,1003.76,167.29333333333332,136.0,1.32,766.47,5,4,5,545,14,1,Champions,Reward & retain
C00027,Customer 27,customer27@example.com,East,B2B,Social,2022-08-14,501.0,9.0,1284.9,142.76666666666665,177.0,1.53,936.1,3,5,5,355,13,1,Loyal customers,Upsell & deepen
C00028,Customer 28,customer28@example.com,South,B2C,Paid,2023-04-05,491.0,8.0,1601.64,200.205,142.0,1.69,1190.63,4,4,5,445,13,1,Champions,Reward & retain
C00030,Customer 30,customer30@example.com,West,B2C,Email,2022-10-12,504.0,4.0,682.35,170.5875,86.0,1.4,494.16,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00031,Customer 31,customer31@example.com,East,B2C,Social,2022-01-07,705.0,5.0,535.9399999999999,107.188,44.0,3.41,277.47,1,3,4,134,8,4,At-risk customers,Re-engage now
C00032,Customer 32,customer32@example.com,West,B2B,Email,2022-06-13,508.0,15.0,2647.83,176.522,382.0,1.18,1902.48,3,5,5,355,13,3,Loyal customers,Upsell & deepen
C00033,Customer 33,customer33@example.com,Unknown,B2C,Organic,2023-03-09,504.0,5.0,591.64,118.328,183.0,0.82,428.47,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00034,Customer 34,customer34@example.com,North,B2B,Organic,2022-12-15,807.0,2.0,160.24,80.12,38.0,1.58,72.48,1,1,2,112,4,2,Lost / dormant,Win-back / suppress
C00035,Customer 35,customer35@example.com,East,B2C,Email,2022-10-12,479.0,8.0,1076.87,134.60875,115.0,2.09,820.58,4,4,5,445,13,1,Champions,Reward & retain
C00036,Customer 36,customer36@example.com,Central,B2C,Email,2022-06-09,478.0,15.0,2491.36,166.09066666666666,388.0,1.16,1902.4,5,5,5,555,15,3,Champions,Reward & retain
C00037,Customer 37,customer37@example.com,East,B2C,Social,2022-08-09,485.0,12.0,374.52,31.21,290.0,1.24,281.86,4,5,3,453,12,6,Loyal customers,Upsell & deepen
C00038,Customer 38,customer38@example.com,Central,B2C,Email,2022-12-11,470.0,4.0,446.39,111.5975,143.0,0.84,346.66,5,3,3,533,11,0,Loyal customers,Upsell & deepen
C00039,Customer 39,customer39@example.com,North,B2C,Paid,2022-04-15,496.0,13.0,452.72,34.824615384615385,312.0,1.25,333.15,3,5,3,353,11,6,Loyal customers,Upsell & deepen
C00040,Customer 40,customer40@example.com,South,B2B,Organic,2022-04-05,479.0,3.0,234.63,78.21,46.0,1.96,178.79,4,2,2,422,8,5,New customers,Onboard & convert
C00041,Customer 41,customer41@example.com,West,B2C,Organic,2023-01-25,615.0,5.0,522.11,104.422,62.0,2.42,309.87,1,3,4,134,8,4,At-risk customers,Re-engage now
C00042,Customer 42,customer42@example.com,North,B2C,Email,2022-04-10,815.0,3.0,152.11,50.70333333333334,29.0,3.0,68.12,1,2,1,121,4,2,Lost / dormant,Win-back / suppress
C00043,Customer 43,customer43@example.com,West,B2C,Referral,2023-01-03,501.0,5.0,636.81,127.362,92.0,1.63,463.94,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00044,Customer 44,customer44@example.com,South,B2B,Referral,2022-12-19,474.0,2.0,160.73000000000002,80.36500000000001,74.0,0.81,123.77,5,1,2,512,8,0,New customers,Onboard & convert
C00045,Customer 45,customer45@example.com,South,B2C,Email,2023-09-11,490.0,4.0,352.12,88.03,53.0,2.26,262.29,4,3,3,433,10,5,Loyal customers,Upsell & deepen
C00046,Customer 46,customer46@example.com,North,B2B,Paid,2022-09-28,478.0,5.0,881.96,176.392,151.0,0.99,673.46,5,3,4,534,12,1,Loyal customers,Upsell & deepen
C00047,Customer 47,customer47@example.com,South,B2C,Referral,2022-02-14,471.0,13.0,2584.79,198.83,339.0,1.15,2003.08,5,5,5,555,15,3,Champions,Reward & retain
C00048,Customer 48,customer48@example.com,Central,B2B,Email,2023-04-16,481.0,9.0,1551.03,172.33666666666667,138.0,1.96,1176.98,4,5,5,455,14,1,Champions,Reward & retain
C00049,Customer 49,customer49@example.com,South,B2C,Paid,2023-07-04,456.0,2.0,199.65,99.825,37.0,1.62,159.81,5,1,2,512,8,5,New customers,Onboard & convert
C00050,Customer 50,customer50@example.com,West,B2C,Paid,2022-05-08,490.0,2.0,154.14,77.07,13.0,2.0,114.82,4,1,2,412,7,5,New customers,Onboard & convert
C00051,Customer 51,customer51@example.com,West,B2C,Social,2023-01-23,456.0,2.0,82.16,41.08,49.0,1.22,65.76,5,1,1,511,7,0,New customers,Onboard & convert
C00052,Customer 52,customer52@example.com,West,B2B,Paid,2022-03-22,494.0,6.0,1099.7,183.28333333333333,106.0,1.7,812.53,4,4,5,445,13,1,Champions,Reward & retain
C00054,Customer 54,customer54@example.com,Central,B2C,Referral,2022-10-28,891.0,3.0,159.97,53.32333333333333,38.0,2.37,65.53,1,2,2,122,5,2,Lost / dormant,Win-back / suppress
C00055,Customer 55,customer55@example.com,East,B2C,Email,2023-10-06,471.0,3.0,310.73,103.57666666666668,23.0,3.0,240.8,5,2,3,523,10,4,New customers,Onboard & convert
C00056,Customer 56,customer56@example.com,North,B2B,Email,2023-09-26,483.0,2.0,133.23000000000002,66.61500000000001,26.0,2.0,100.68,4,1,1,411,6,5,New customers,Onboard & convert
C00057,Customer 57,customer57@example.com,West,B2C,Paid,2023-01-06,487.0,8.0,233.88,29.235,177.0,1.36,175.29,4,4,2,442,10,6,Frequent low-spenders,Grow basket size
C00058,Customer 58,customer58@example.com,South,B2B,Organic,2023-08-15,513.0,8.0,325.49,40.68625,201.0,1.19,231.59,3,4,3,343,10,6,Loyal customers,Upsell & deepen
C00059,Customer 59,customer59@example.com,West,B2C,Social,2022-07-16,514.0,5.0,591.08,118.216,115.0,1.3,419.74,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00060,Customer 60,customer60@example.com,South,B2C,Organic,2022-03-13,487.0,8.0,335.4,41.925,212.0,1.13,251.38,4,4,3,443,11,6,Loyal customers,Upsell & deepen
C00061,Customer 61,customer61@example.com,South,B2C,Paid,2022-02-16,560.0,2.0,241.04,120.52,52.0,1.15,157.11,2,1,2,212,5,0,Lost / dormant,Win-back / suppress
C00063,Customer 63,customer63@example.com,Central,B2C,Organic,2022-08-22,515.0,3.0,363.19,121.06333333333332,43.0,2.09,257.41,3,2,3,323,8,5,Potential loyalists,Nurture toward loyalty
C00064,Customer 64,customer64@example.com,South,B2C,Social,2022-10-24,509.0,5.0,596.45,119.29,100.0,1.5,427.71,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00065,Customer 65,customer65@example.com,South,B2C,Organic,2022-03-23,506.0,6.0,1419.71,236.6183333333333,182.0,0.99,1024.1,3,4,5,345,12,1,Loyal customers,Upsell & deepen
C00066,Customer 66,customer66@example.com,West,B2C,Email,2022-08-27,515.0,9.0,321.67,35.74111111111111,200.0,1.35,227.98,3,5,3,353,11,6,Loyal customers,Upsell & deepen
C00067,Customer 67,customer67@example.com,South,B2C,Referral,2022-04-14,455.0,3.0,379.51,126.50333333333332,67.0,1.34,304.44,5,2,3,523,10,0,New customers,Onboard & convert
C00068,Customer 68,customer68@example.com,South,B2C,Email,2023-01-25,498.0,4.0,497.66,124.415,61.0,1.97,364.75,3,3,3,333,9,5,Loyal customers,Upsell & deepen
C00069,Customer 69,customer69@example.com,West,B2C,Referral,2022-10-12,548.0,9.0,1217.91,135.32333333333335,186.0,1.45,811.2,2,5,5,255,12,1,At-risk customers,Re-engage now
C00070,Customer 70,customer70@example.com,West,B2C,Paid,2023-04-10,940.0,2.0,170.2,85.1,59.0,1.02,66.09,1,1,2,112,4,2,Lost / dormant,Win-back / suppress
C00071,Customer 71,customer71@example.com,North,B2B,Social,2023-10-13,504.0,11.0,391.01,35.54636363636364,309.0,1.07,283.17,3,5,3,353,11,6,Loyal customers,Upsell & deepen
C00072,Customer 72,customer72@example.com,Central,B2B,Organic,2023-01-09,461.0,2.0,185.43,92.715,39.0,1.54,146.82,5,1,2,512,8,0,New customers,Onboard & convert
C00073,Customer 73,customer73@example.com,Central,B2C,Social,2022-06-16,472.0,2.0,161.68,80.84,9.0,2.0,125.03,5,1,2,512,8,5,New customers,Onboard & convert
C00074,Customer 74,customer74@example.com,South,B2C,Organic,2023-01-15,575.0,4.0,389.31,97.3275,66.0,1.82,247.13,1,3,3,133,7,5,At-risk customers,Re-engage now
C00075,Customer 75,customer75@example.com,Central,B2B,Email,2022-12-30,470.0,4.0,262.77,65.6925,111.0,1.08,204.07,5,3,2,532,10,0,Potential loyalists,Nurture toward loyalty
C00076,Customer 76,customer76@example.com,South,B2C,Email,2022-08-03,908.0,1.0,94.59,94.59,0.0,1.0,38.02,1,1,1,111,3,2,Lost / dormant,Win-back / suppress
C00077,Customer 77,customer77@example.com,North,B2C,Organic,2023-11-18,486.0,14.0,2393.65,170.975,471.0,0.89,1797.7,4,5,5,455,14,3,Champions,Reward & retain
C00078,Customer 78,customer78@example.com,West,B2C,Social,2022-10-01,565.0,5.0,381.8,76.36,49.0,3.06,246.65,2,3,3,233,8,4,At-risk customers,Re-engage now
C00079,Customer 79,customer79@example.com,West,B2C,Organic,2023-12-01,499.0,8.0,1083.28,135.41,170.0,1.41,792.38,3,4,5,345,12,1,Loyal customers,Upsell & deepen
C00080,Customer 80,customer80@example.com,West,B2C,Paid,2023-10-26,576.0,4.0,331.86,82.965,75.0,1.6,210.29,1,3,3,133,7,5,At-risk customers,Re-engage now
C00081,Customer 81,customer81@example.com,Central,B2C,Email,2022-03-15,581.0,5.0,361.13,72.226,57.0,2.63,226.87,1,3,3,133,7,4,At-risk customers,Re-engage now
C00082,Customer 82,customer82@example.com,North,B2C,Paid,2023-09-16,530.0,2.0,203.87,101.935,1.0,2.0,140.4,2,1,2,212,5,5,Lost / dormant,Win-back / suppress
C00083,Customer 83,customer83@example.com,Central,B2B,Email,2023-10-13,455.0,8.0,1723.92,215.49,235.0,1.02,1382.92,5,4,5,545,14,3,Champions,Reward & retain
C00084,Customer 84,customer84@example.com,Central,B2C,Email,2022-06-25,581.0,4.0,416.44,104.11,69.0,1.74,261.62,1,3,3,133,7,5,At-risk customers,Re-engage now
C00085,Customer 85,customer85@example.com,North,B2C,Referral,2023-07-01,537.0,4.0,637.75,159.4375,88.0,1.36,433.48,2,3,4,234,9,1,At-risk customers,Re-engage now
C00086,Customer 86,customer86@example.com,North,B2B,Paid,2022-09-08,508.0,5.0,780.5699999999999,156.11399999999998,177.0,0.85,560.84,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00087,Customer 87,customer87@example.com,North,B2C,Paid,2022-06-17,484.0,8.0,1433.61,179.20125000000002,161.0,1.49,1081.13,4,4,5,445,13,1,Champions,Reward & retain
C00088,Customer 88,customer88@example.com,North,B2C,Referral,2023-04-19,490.0,7.0,886.2,126.6,108.0,1.94,660.13,4,4,4,444,12,1,Champions,Reward & retain
C00089,Customer 89,customer89@example.com,Unknown,B2C,Social,2023-01-24,478.0,2.0,172.26999999999998,86.13499999999999,41.0,1.46,131.55,5,1,2,512,8,0,New customers,Onboard & convert
C00091,Customer 91,customer91@example.com,East,B2B,Organic,2023-10-18,615.0,4.0,384.81,96.2025,115.0,1.04,228.38,1,3,3,133,7,0,At-risk customers,Re-engage now
C00092,Customer 92,customer92@example.com,North,B2C,Referral,2023-07-25,653.0,5.0,711.53,142.30599999999998,68.0,2.21,397.72,1,3,4,134,8,4,At-risk customers,Re-engage now
C00093,Customer 93,customer93@example.com,East,B2B,Paid,2022-08-13,484.0,2.0,147.38,73.69,52.0,1.15,111.14,4,1,1,411,6,0,New customers,Onboard & convert
C00094,Customer 94,customer94@example.com,East,B2C,Social,2022-11-29,532.0,3.0,168.32,56.10666666666666,53.0,1.7,115.48,2,2,2,222,6,5,Lost / dormant,Win-back / suppress
C00095,Customer 95,customer95@example.com,North,B2C,Paid,2022-02-27,565.0,2.0,205.08,102.54,32.0,1.88,132.49,2,1,2,212,5,5,Lost / dormant,Win-back / suppress
C00096,Customer 96,customer96@example.com,East,B2C,Email,2022-08-23,464.0,3.0,314.9,104.96666666666664,49.0,1.84,247.71,5,2,3,523,10,5,New customers,Onboard & convert
C00097,Customer 97,customer97@example.com,Central,B2C,Organic,2022-02-02,515.0,5.0,340.66,68.13199999999999,90.0,1.67,241.44,3,3,3,333,9,5,Loyal customers,Upsell & deepen
C00098,Customer 98,customer98@example.com,South,B2C,Referral,2022-11-20,481.0,6.0,218.16,36.36,134.0,1.34,165.55,4,4,2,442,10,6,Frequent low-spenders,Grow basket size
C00099,Customer 99,customer99@example.com,South,B2C,Email,2023-02-15,606.0,3.0,157.01,52.336666666666666,40.0,2.25,94.57,1,2,2,122,5,5,Lost / dormant,Win-back / suppress
C00100,Customer 100,customer100@example.com,North,B2C,Social,2022-10-02,455.0,7.0,789.4300000000001,112.7757142857143,147.0,1.43,633.28,5,4,4,544,13,1,Champions,Reward & retain
C00101,Customer 101,customer101@example.com,West,B2C,Email,2022-03-09,521.0,9.0,1710.51,190.05666666666667,194.0,1.39,1198.34,2,5,5,255,12,1,At-risk customers,Re-engage now
C00102,Customer 102,customer102@example.com,North,B2B,Email,2022-08-05,483.0,2.0,223.78,111.89,5.0,2.0,169.11,4,1,2,412,7,5,New customers,Onboard & convert
C00103,Customer 103,customer103@example.com,West,B2C,Social,2023-08-04,465.0,9.0,1035.9,115.1,193.0,1.4,813.13,5,5,5,555,15,1,Champions,Reward & retain
C00104,Customer 104,customer104@example.com,South,B2C,Email,2022-11-19,498.0,11.0,2405.84,218.71272727272728,308.0,1.07,1763.32,3,5,5,355,13,3,Loyal customers,Upsell & deepen
C00105,Customer 105,customer105@example.com,North,B2B,Referral,2022-08-06,685.0,1.0,39.16,39.16,0.0,1.0,20.87,1,1,1,111,3,2,Lost / dormant,Win-back / suppress
C00106,Customer 106,customer106@example.com,Central,B2B,Paid,2023-11-03,492.0,7.0,802.7,114.67142857142858,173.0,1.21,595.5,4,4,4,444,12,1,Champions,Reward & retain
C00107,Customer 107,customer107@example.com,East,B2C,Email,2023-05-27,633.0,4.0,249.36,62.34,74.0,1.62,143.79,1,3,2,132,6,5,Potential loyalists,Nurture toward loyalty
C00108,Customer 108,customer108@example.com,West,B2B,Referral,2023-02-10,678.0,7.0,842.1,120.3,216.0,0.97,453.34,1,4,4,144,9,1,At-risk customers,Re-engage now
C00109,Customer 109,customer109@example.com,East,B2C,Paid,2023-10-21,681.0,6.0,600.54,100.09,197.0,0.91,321.88,1,4,4,144,9,1,At-risk customers,Re-engage now
C00110,Customer 110,customer110@example.com,East,B2C,Paid,2023-04-15,506.0,4.0,637.49,159.3725,92.0,1.3,459.85,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00111,Customer 111,customer111@example.com,North,B2C,Email,2022-05-27,529.0,5.0,692.3299999999999,138.46599999999998,128.0,1.17,477.69,2,3,4,234,9,1,At-risk customers,Re-engage now
C00112,Customer 112,customer112@example.com,East,B2B,Referral,2022-09-29,562.0,3.0,313.55,104.51666666666668,88.0,1.02,203.64,2,2,3,223,7,0,Lost / dormant,Win-back / suppress
C00113,Customer 113,customer113@example.com,Central,B2C,Email,2022-05-23,536.0,9.0,1019.55,113.28333333333332,181.0,1.49,694.28,2,5,5,255,12,1,At-risk customers,Re-engage now
C00114,Customer 114,customer114@example.com,East,B2C,Social,2022-09-10,563.0,8.0,839.96,104.995,227.0,1.06,544.56,2,4,4,244,10,1,At-risk customers,Re-engage now
C00115,Customer 115,customer115@example.com,North,B2C,Paid,2023-07-29,489.0,9.0,992.36,110.26222222222222,215.0,1.26,740.72,4,5,5,455,14,1,Champions,Reward & retain
C00116,Customer 116,customer116@example.com,Central,B2B,Email,2023-07-06,489.0,8.0,1336.87,167.10875,188.0,1.28,997.87,4,4,5,445,13,1,Champions,Reward & retain
C00117,Customer 117,customer117@example.com,South,B2B,Paid,2022-09-27,517.0,6.0,876.9,146.15,137.0,1.31,619.09,3,4,4,344,11,1,Loyal customers,Upsell & deepen
C00118,Customer 118,customer118@example.com,East,B2C,Referral,2023-08-22,461.0,11.0,323.82,29.438181818181818,292.0,1.13,256.39,5,5,3,553,13,6,Loyal customers,Upsell & deepen
C00119,Customer 119,customer119@example.com,North,B2B,Organic,2023-03-15,506.0,4.0,683.95,170.9875,82.0,1.46,493.36,3,3,4,334,10,1,Loyal customers,Upsell & deepen
C00120,Customer 120,customer120@example.com,South,B2C,Email,2023-08-21,502.0,9.0,1775.53,197.2811111111111,225.0,1.2,1290.97,3,5,5,355,13,3,Loyal customers,Upsell & deepen
C00121,Customer 121,customer121@example.com,South,B2C,Email,2023-02-13,500.0,2.0,91.95,45.975,7.0,2.0,67.12,3,1,1,311,5,5,Potential loyalists,Nurture toward loyalty
C00122,Customer 122,customer122@example.com,West,B2C,Paid,2023-01-06,778.0,3.0,147.01,49.00333333333333,46.0,1.96,68.97,1,2,1,121,4,2,Lost / dormant,Win-back / suppress
C00123,Customer 123,customer123@example.com,Unknown,B2C,Referral,2022-08-13,468.0,6.0,987.76,164.6266666666667,235.0,0.77,770.37,5,4,5,545,14,1,Champions,Reward & retain
C00124,Customer 124,customer124@example.com,East,B2C,Social,2022-05-22,525.0,6.0,959.6,159.93333333333334,63.0,2.86,667.15,2,4,5,245,11,4,At-risk customers,Re-engage now
C00125,Customer 125,customer125@example.com,North,B2C,Referral,2023-06-06,497.0,2.0,151.43,75.715,16.0,2.0,111.21,3,1,1,311,5,5,Potential loyalists,Nurture toward loyalty
C00126,Customer 126,customer126@example.com,West,B2C,Email,2023-05-21,840.0,4.0,276.94,69.235,92.0,1.3,120.34,1,3,2,132,6,2,Potential loyalists,Nurture toward loyalty
C00127,Customer 127,customer127@example.com,Central,B2B,Social,2022-04-04,530.0,9.0,292.39,32.48777777777778,256.0,1.05,201.36,2,5,3,253,10,6,At-risk customers,Re-engage now
C00128,Customer 128,customer128@example.com,West,B2B,Referral,2022-02-18,470.0,2.0,111.48,55.74,5.0,2.0,86.57,5,1,1,511,7,5,New customers,Onboard & convert
C00129,Customer 129,customer129@example.com,Central,B2B,Organic,2022-04-23,596.0,2.0,263.47,131.735,22.0,2.0,161.35,1,1,2,112,4,5,Lost / dormant,Win-back / suppress
C00130,Customer 130,customer130@example.com,Central,B2B,Paid,2022-06-06,478.0,1.0,64.25,64.25,0.0,1.0,49.06,5,1,1,511,7,0,New customers,Onboard & convert
C00131,Customer 131,customer131@example.com,East,B2C,Referral,2023-10-05,463.0,14.0,2487.36,177.66857142857145,267.0,1.57,1960.88,5,5,5,555,15,3,Champions,Reward & retain
C00132,Customer 132,customer132@example.com,Central,B2C,Referral,2022-06-13,767.0,6.0,719.5899999999999,119.93166666666666,109.0,1.65,342.44,1,4,4,144,9,2,At-risk customers,Re-engage now
C00133,Customer 133,customer133@example.com,West,B2C,Organic,2023-11-28,779.0,6.0,875.28,145.88,116.0,1.55,410.11,1,4,4,144,9,2,At-risk customers,Re-engage now
C00134,Customer 134,customer134@example.com,Central,B2C,Email,2023-03-09,877.0,1.0,99.92,99.92,0.0,1.0,41.59,1,1,1,111,3,2,Lost / dormant,Win-back / suppress
C00135,Customer 135,customer135@example.com,East,B2C,Paid,2023-09-03,536.0,4.0,474.28,118.57,74.0,1.62,322.97,2,3,3,233,8,5,At-risk customers,Re-engage now
C00136,Customer 136,customer136@example.com,East,B2C,Referral,2022-03-07,508.0,6.0,1134.29,189.0483333333333,160.0,1.12,814.99,3,4,5,345,12,1,Loyal customers,Upsell & deepen
C00137,Customer 137,customer137@example.com,West,B2C,Social,2023-01-30,486.0,2.0,152.68,76.34,17.0,2.0,114.67,4,1,2,412,7,5,New customers,Onboard & convert
C00138,Customer 138,customer138@example.com,South,B2C,Referral,2023-01-26,632.0,8.0,819.83,102.47875,172.0,1.4,473.48,1,4,4,144,9,1,At-risk customers,Re-engage now
C00139,Customer 139,customer139@example.com,South,B2C,Paid,2023-09-03,485.0,6.0,155.81,25.968333333333334,107.0,1.68,117.26,4,4,2,442,10,6,Frequent low-spenders,Grow basket size
C00140,Customer 140,customer140@example.com,Central,B2C,Referral,2023-04-25,487.0,4.0,501.6,125.4,85.0,1.41,375.94,4,3,3,433,10,1,Loyal customers,Upsell & deepen
C00141,Customer 141,customer141@example.com,North,B2C,Organic,2023-06-26,472.0,3.0,220.21,73.40333333333332,36.0,2.5,170.29,5,2,2,522,9,5,New customers,Onboard & convert
C00142,Customer 142,customer142@example.com,Central,B2C,Referral,2022-09-15,538.0,5.0,459.45,91.89,111.0,1.35,311.71,2,3,3,233,8,0,At-risk customers,Re-engage now
C00143,Customer 143,customer143@example.com,West,B2C,Referral,2023-07-21,481.0,4.0,523.8199999999999,130.95499999999998,88.0,1.36,397.49,4,3,4,434,11,1,Loyal customers,Upsell & deepen
C00144,Customer 144,customer144@example.com,West,B2C,Social,2022-01-12,776.0,3.0,197.32,65.77333333333333,37.0,2.43,92.81,1,2,2,122,5,2,Lost / dormant,Win-back / suppress
C00145,Customer 145,customer145@example.com,West,B2B,Organic,2023-11-28,537.0,3.0,339.64,113.21333333333332,72.0,1.25,230.85,2,2,3,223,7,0,Lost / dormant,Win-back / suppress
C00146,Customer 146,customer146@example.com,West,B2C,Organic,2022-04-28,532.0,5.0,176.42,35.284,42.0,3.57,121.04,2,3,2,232,7,4,Potential loyalists,Nurture toward loyalty
C00147,Customer 147,customer147@example.com,West,B2C,Referral,2023-11-30,512.0,1.0,77.81,77.81,0.0,1.0,55.47,3,1,1,311,5,0,Potential loyalists,Nurture toward loyalty
C00148,Customer 148,customer148@example.com,East,B2B,Social,2023-07-04,506.0,9.0,371.12,41.23555555555556,209.0,1.29,267.71,3,5,3,353,11,6,Loyal customers,Upsell & deepen
C00149,Customer 149,customer149@example.com,South,B2C,Referral,2022-10-01,513.0,3.0,432.68,144.22666666666666,91.0,0.99,307.85,3,2,3,323,8,0,Potential loyalists,Nurture toward loyalty
C00150,Customer 150,customer150@example.com,West,B2C,Referral,2023-10-19,515.0,7.0,245.35,35.05,174.0,1.21,173.89,3,4,2,342,9,6,Frequent low-spenders,Grow basket size
C00151,Customer 151,customer151@example.com,North,B2C,Paid,2022-12-15,532.0,6.0,779.47,129.91166666666666,117.0,1.54,534.79,2,4,4,244,10,1,At-risk customers,Re-engage now
C00152,Customer 152,customer152@example.com,North,B2C,Paid,2022-04-25,482.0,3.0,196.5,65.5,48.0,1.88,148.8,4,2,2,422,8,5,New customers,Onboard & convert
C00153,Customer 153,customer153@example.com,North,B2C,Social,2022-10-28,544.0,3.0,291.27,97.09,79.0,1.14,195.43,2,2,3,223,7,0,Lost / dormant,Win-back / suppress
C00154,Customer 154,customer154@example.com,North,B2C,Email,2023-03-22,535.0,3.0,235.05,78.35000000000001,49.0,1.84,160.36,2,2,2,222,6,5,Lost / dormant,Win-back / suppress
C00155,Customer 155,customer155@example.com,East,B2B,Paid,2022-06-11,545.0,4.0,642.33,160.5825,56.0,2.14,430.18,2,3,4,234,9,5,At-risk customers,Re-engage now
