customer_id,name,email,region,customer_type,lead_source,signup_date,segment_x,total_orders,total_revenue,avg_order_value_x,first_order_date,last_order_date,total_sessions,total_pageviews,last_visit_date,recency_days,frequency,monetary,avg_order_value_y,lifespan_days,orders_per_month,estimated_clv,r_score,f_score,m_score,rfm_score,rfm_total,segment_y,segment
C00014,Customer 14,customer14@example.com,South,B2B,Paid,2022-02-02,Unassigned,3,165.57,55.19,2023-08-29,2023-09-25,3,29,2024-11-25,911.0,2.0,99.96,49.98,27.0,2.0,39.501207464324914,1.0,1.0,1.0,111,3.0,Lost / dormant,No purchase
C00015,Customer 15,customer15@example.com,West,B2C,Organic,2022-01-31,Unassigned,8,912.49,114.06125,2024-03-07,2024-10-18,21,231,2024-08-31,549.0,4.0,432.43,108.1075,198.0,0.61,283.5606557377049,2.0,3.0,4.0,234,9.0,At-risk customers,No purchase
C00016,Customer 16,customer16@example.com,South,B2C,Email,2022-04-06,Unassigned,8,972.82,121.6025,2024-04-17,2024-11-01,20,197,2024-12-15,508.0,4.0,493.97,123.4925,116.0,1.03,350.0574803149606,3.0,3.0,4.0,334,10.0,Loyal customers,No purchase
C00017,Customer 17,customer17@example.com,West,B2C,Social,2022-08-12,Unassigned,10,1288.36,128.83599999999998,2024-03-05,2024-11-01,14,171,2024-09-01,508.0,9.0,1101.95,122.4388888888889,241.0,1.12,780.9094488188977,3.0,5.0,5.0,355,13.0,Loyal customers,No purchase
C00018,Customer 18,customer18@example.com,Central,B2C,Paid,2022-08-27,Unassigned,5,640.5,128.1,2024-08-28,2024-10-28,17,221,2024-10-10,512.0,5.0,640.5,128.1,61.0,2.46,450.3515625,3.0,4.0,4.0,344,11.0,Loyal customers,No purchase
C00019,Customer 19,customer19@example.com,North,B2B,Social,2023-06-02,Unassigned,4,412.51,103.1275,2024-08-18,2024-10-16,25,296,2024-12-07,524.0,2.0,222.14,111.07,23.0,2.0,152.6152671755725,3.0,1.0,2.0,312,6.0,Potential loyalists,No purchase
C00020,Customer 20,customer20@example.com,West,B2C,Social,2023-09-09,Unassigned,9,1134.49,126.05444444444444,2024-07-27,2024-11-18,21,169,2024-12-13,491.0,6.0,775.06,129.17666666666665,95.0,1.89,568.2720977596741,4.0,4.0,5.0,445,13.0,Champions,No purchase
C00021,Customer 21,customer21@example.com,South,B2C,Referral,2022-01-28,Unassigned,7,786.27,112.32428571428572,2024-07-08,2024-12-09,4,72,2024-06-23,506.0,3.0,404.59,134.86333333333332,33.0,2.73,287.8505928853755,3.0,2.0,3.0,323,8.0,Potential loyalists,No purchase
C00022,Customer 22,customer22@example.com,Central,B2C,Referral,2023-07-29,Unassigned,8,950.58,118.8225,2024-07-09,2024-10-25,7,59,2024-05-23,515.0,5.0,571.6,114.32000000000001,108.0,1.39,399.56504854368933,3.0,4.0,4.0,344,11.0,Loyal customers,No purchase
C00023,Customer 23,customer23@example.com,West,B2C,Paid,2022-07-23,Unassigned,10,1794.24,179.424,2024-04-27,2024-12-16,25,262,2024-12-27,463.0,8.0,1380.17,172.52125,233.0,1.03,1073.1343412526999,5.0,5.0,5.0,555,15.0,Champions,No purchase
C00024,Customer 24,customer24@example.com,North,B2C,Referral,2023-10-28,Unassigned,8,868.25,108.53125,2023-10-25,2024-04-14,24,248,2024-11-25,709.0,7.0,794.94,113.56285714285715,172.0,1.22,403.6366713681242,1.0,5.0,5.0,155,11.0,At-risk customers,No purchase
C00025,Customer 25,customer25@example.com,North,B2B,Referral,2023-07-13,Unassigned,4,384.52,96.13,2024-09-25,2024-11-17,1,18,2023-06-05,492.0,2.0,172.92000000000002,86.46000000000001,20.0,2.0,126.52682926829269,4.0,1.0,2.0,412,7.0,New customers,No purchase
C00026,Customer 26,customer26@example.com,East,B2B,Referral,2023-03-06,Unassigned,8,1303.99,162.99875,2024-07-18,2024-12-01,3,24,2024-09-30,478.0,4.0,693.12,173.28,136.0,0.88,522.0150627615062,5.0,3.0,4.0,534,12.0,Loyal customers,No purchase
C00027,Customer 27,customer27@example.com,East,B2B,Social,2022-08-14,Unassigned,9,1284.9,142.76666666666665,2024-05-15,2024-11-08,12,98,2024-11-03,501.0,9.0,1284.8999999999999,142.76666666666665,177.0,1.53,923.2814371257484,3.0,5.0,5.0,355,13.0,Loyal customers,No purchase
C00028,Customer 28,customer28@example.com,South,B2C,Paid,2023-04-05,Unassigned,8,1601.64,200.205,2024-06-29,2024-11-18,20,255,2024-10-06,491.0,6.0,1164.29,194.04833333333332,121.0,1.49,853.654582484725,4.0,4.0,5.0,445,13.0,Champions,No purchase
C00029,Customer 29,customer29@example.com,West,B2C,Social,2023-08-27,Unassigned,1,63.5,63.5,2024-11-22,2024-11-22,4,52,2022-10-10,,,,,,,,,,,,,,No purchase
C00030,Customer 30,customer30@example.com,West,B2C,Email,2022-10-12,Unassigned,7,1067.64,152.51999999999998,2024-05-30,2024-11-09,15,183,2024-11-30,504.0,4.0,682.35,170.5875,86.0,1.4,487.3928571428571,3.0,3.0,4.0,334,10.0,Loyal customers,No purchase
C00031,Customer 31,customer31@example.com,East,B2C,Social,2022-01-07,Unassigned,5,535.9399999999999,107.188,2024-03-05,2024-04-18,5,45,2024-09-02,718.0,3.0,333.08,111.02666666666666,31.0,2.9,167.00389972144845,1.0,2.0,3.0,123,6.0,Potential loyalists,No purchase
C00032,Customer 32,customer32@example.com,West,B2B,Email,2022-06-13,Unassigned,16,2907.41,181.713125,2023-10-16,2024-11-01,4,45,2024-10-25,508.0,13.0,2436.73,187.44076923076923,382.0,1.02,1726.8165354330708,3.0,5.0,5.0,355,13.0,Loyal customers,No purchase
C00033,Customer 33,customer33@example.com,Unknown,B2C,Organic,2023-03-09,Unassigned,8,963.63,120.45375,2024-05-06,2024-11-10,21,245,2024-12-16,504.0,3.0,271.46000000000004,90.48666666666668,154.0,0.58,193.9,3.0,2.0,3.0,323,8.0,Potential loyalists,No purchase
C00034,Customer 34,customer34@example.com,North,B2B,Organic,2022-12-15,Unassigned,2,160.24,80.12,2023-11-30,2024-01-07,8,71,2024-07-10,807.0,2.0,160.24,80.12,38.0,1.58,71.4825278810409,1.0,1.0,2.0,112,4.0,Lost / dormant,No purchase
C00035,Customer 35,customer35@example.com,East,B2C,Email,2022-10-12,Unassigned,8,1076.87,134.60875,2024-08-07,2024-11-30,16,131,2024-10-12,508.0,6.0,765.88,127.64666666666666,86.0,2.09,542.7496062992126,3.0,4.0,4.0,344,11.0,Loyal customers,No purchase
C00036,Customer 36,customer36@example.com,Central,B2C,Email,2022-06-09,Unassigned,18,3004.38,166.91,2023-11-07,2024-12-01,20,193,2024-09-13,478.0,14.0,2400.44,171.46,388.0,1.08,1807.862761506276,5.0,5.0,5.0,555,15.0,Champions,No purchase
C00037,Customer 37,customer37@example.com,East,B2C,Social,2022-08-09,Unassigned,14,447.64,31.974285714285717,2024-02-08,2024-11-24,9,94,2024-12-11,485.0,10.0,302.34000000000003,30.234,235.0,1.28,224.41731958762887,4.0,5.0,3.0,453,12.0,Loyal customers,No purchase
C00038,Customer 38,customer38@example.com,Central,B2C,Email,2022-12-11,Unassigned,6,682.66,113.77666666666666,2024-07-19,2024-12-09,16,148,2024-12-10,470.0,3.0,396.82,132.27333333333334,143.0,0.63,303.9472340425532,5.0,2.0,3.0,523,10.0,New customers,No purchase
C00039,Customer 39,customer39@example.com,North,B2C,Paid,2022-04-15,Unassigned,13,452.72,34.824615384615385,2024-01-06,2024-11-13,19,200,2024-10-06,496.0,12.0,407.7,33.975,312.0,1.15,295.91129032258067,4.0,5.0,3.0,453,12.0,Loyal customers,No purchase
C00040,Customer 40,customer40@example.com,South,B2B,Organic,2022-04-05,Unassigned,3,234.63,78.21,2024-10-15,2024-11-30,9,93,2024-12-06,479.0,3.0,234.63,78.21,46.0,1.96,176.33987473903966,5.0,2.0,3.0,523,10.0,New customers,No purchase
C00041,Customer 41,customer41@example.com,West,B2C,Organic,2023-01-25,Unassigned,6,679.23,113.205,2024-05-16,2024-08-15,18,212,2024-12-02,615.0,5.0,522.11,104.422,62.0,2.42,305.62536585365854,1.0,4.0,4.0,144,9.0,At-risk customers,No purchase
C00042,Customer 42,customer42@example.com,North,B2C,Email,2022-04-10,Unassigned,3,152.11,50.70333333333334,2023-12-01,2023-12-30,21,165,2024-11-20,815.0,3.0,152.11,50.70333333333334,29.0,3.0,67.18969325153375,1.0,2.0,2.0,122,5.0,Lost / dormant,No purchase
C00043,Customer 43,customer43@example.com,West,B2C,Referral,2023-01-03,Unassigned,7,950.53,135.79,2024-06-10,2024-11-08,21,202,2024-11-04,502.0,4.0,456.24,114.06,91.0,1.32,327.18406374501996,3.0,3.0,4.0,334,10.0,Loyal customers,No purchase
C00044,Customer 44,customer44@example.com,South,B2B,Referral,2022-12-19,Unassigned,3,277.76,92.58666666666666,2024-09-22,2024-12-05,9,78,2024-12-28,548.0,1.0,110.59,110.59,0.0,1.0,72.65036496350366,2.0,1.0,1.0,211,4.0,Lost / dormant,No purchase
C00045,Customer 45,customer45@example.com,South,B2C,Email,2023-09-11,Unassigned,4,352.12,88.03,2024-09-27,2024-11-19,2,32,2023-10-13,511.0,2.0,177.12,88.56,31.0,1.94,124.7812133072407,3.0,1.0,2.0,312,6.0,Potential loyalists,No purchase
C00046,Customer 46,customer46@example.com,North,B2B,Paid,2022-09-28,Unassigned,7,1357.08,193.8685714285714,2024-07-03,2024-12-01,9,108,2024-07-04,478.0,4.0,639.88,159.97,117.0,1.03,481.9179916317991,5.0,3.0,4.0,534,12.0,Loyal customers,No purchase
C00047,Customer 47,customer47@example.com,South,B2C,Referral,2022-02-14,Unassigned,15,2919.6,194.64,2024-01-04,2024-12-08,20,194,2024-11-15,471.0,13.0,2584.79,198.82999999999998,339.0,1.15,1975.635668789809,5.0,5.0,5.0,555,15.0,Champions,No purchase
C00048,Customer 48,customer48@example.com,Central,B2B,Email,2023-04-16,Unassigned,11,1977.34,179.7581818181818,2024-07-13,2024-11-28,12,165,2024-11-10,481.0,7.0,1172.19,167.4557142857143,138.0,1.52,877.314760914761,5.0,5.0,5.0,555,15.0,Champions,No purchase
C00049,Customer 49,customer49@example.com,South,B2C,Paid,2023-07-04,Unassigned,2,199.65,99.825,2024-11-16,2024-12-23,20,172,2024-11-06,456.0,1.0,104.15,104.15,0.0,1.0,82.22368421052632,5.0,1.0,1.0,511,7.0,New customers,No purchase
C00050,Customer 50,customer50@example.com,West,B2C,Paid,2022-05-08,Unassigned,2,154.14,77.07,2024-11-06,2024-11-19,20,189,2024-12-29,490.0,2.0,154.14,77.07,13.0,2.0,113.24571428571427,4.0,1.0,2.0,412,7.0,New customers,No purchase
C00051,Customer 51,customer51@example.com,West,B2C,Social,2023-01-23,Unassigned,2,82.16,41.08,2024-11-04,2024-12-23,2,25,2024-05-29,456.0,1.0,50.19,50.19,0.0,1.0,39.623684210526314,5.0,1.0,1.0,511,7.0,New customers,No purchase
C00052,Customer 52,customer52@example.com,West,B2B,Paid,2022-03-22,Unassigned,7,1224.91,174.98714285714286,2024-08-01,2024-11-15,11,123,2024-03-28,494.0,5.0,963.4300000000001,192.686,106.0,1.42,702.0947368421052,4.0,4.0,5.0,445,13.0,Champions,No purchase
C00053,Customer 53,customer53@example.com,West,B2C,Referral,2023-07-20,Unassigned,2,221.29,110.645,2024-10-26,2024-11-09,10,111,2024-11-13,,,,,,,,,,,,,,No purchase
C00054,Customer 54,customer54@example.com,Central,B2C,Referral,2022-10-28,Unassigned,4,188.36,47.09,2023-09-07,2023-10-15,14,134,2024-10-01,891.0,3.0,159.97,53.32333333333333,38.0,2.37,64.63434343434344,1.0,2.0,2.0,122,5.0,Lost / dormant,No purchase
C00055,Customer 55,customer55@example.com,East,B2C,Email,2023-10-06,Unassigned,3,310.73,103.57666666666668,2024-11-15,2024-12-08,4,49,2024-10-11,471.0,2.0,170.97,85.485,23.0,2.0,130.67770700636945,5.0,1.0,2.0,512,8.0,New customers,No purchase
C00056,Customer 56,customer56@example.com,North,B2B,Email,2023-09-26,Unassigned,2,133.23000000000002,66.61500000000001,2024-10-31,2024-11-26,16,198,2024-12-01,509.0,1.0,95.12,95.12,0.0,1.0,67.27544204322201,3.0,1.0,1.0,311,5.0,Potential loyalists,No purchase
C00057,Customer 57,customer57@example.com,West,B2C,Paid,2023-01-06,Unassigned,8,233.88,29.235,2024-05-29,2024-11-22,13,134,2024-11-06,487.0,8.0,233.88,29.235,177.0,1.36,172.88870636550308,4.0,5.0,3.0,453,12.0,Loyal customers,No purchase
C00058,Customer 58,customer58@example.com,South,B2B,Organic,2023-08-15,Unassigned,12,440.2,36.68333333333333,2024-03-17,2024-10-27,2,14,2024-09-03,513.0,5.0,197.35,39.47,152.0,0.99,138.49122807017542,3.0,4.0,2.0,342,9.0,Frequent low-spenders,No purchase
C00059,Customer 59,customer59@example.com,West,B2C,Social,2022-07-16,Unassigned,5,591.08,118.216,2024-07-03,2024-10-26,4,35,2024-06-06,514.0,4.0,452.95,113.2375,115.0,1.04,317.24124513618676,3.0,3.0,4.0,334,10.0,Loyal customers,No purchase
C00060,Customer 60,customer60@example.com,South,B2C,Organic,2022-03-13,Unassigned,9,356.54,39.61555555555556,2024-04-24,2024-12-11,19,177,2024-12-02,487.0,5.0,219.51,43.902,212.0,0.71,162.26611909650924,4.0,4.0,2.0,442,10.0,Frequent low-spenders,No purchase
C00061,Customer 61,customer61@example.com,South,B2C,Paid,2022-02-16,Unassigned,2,241.04,120.52,2024-07-20,2024-09-10,18,150,2024-12-27,560.0,2.0,241.04000000000002,120.52000000000001,52.0,1.15,154.95428571428573,2.0,1.0,3.0,213,6.0,Potential loyalists,No purchase
C00062,Customer 62,customer62@example.com,West,B2C,Paid,2023-11-09,Unassigned,3,138.19,46.06333333333333,2023-10-01,2023-12-20,17,172,2024-09-12,,,,,,,,,,,,,,No purchase
C00063,Customer 63,customer63@example.com,Central,B2C,Organic,2022-08-22,Unassigned,4,434.26,108.565,2024-09-12,2024-11-24,11,153,2024-10-21,515.0,3.0,363.19,121.06333333333333,43.0,2.09,253.88038834951456,3.0,2.0,3.0,323,8.0,Potential loyalists,No purchase
C00064,Customer 64,customer64@example.com,South,B2C,Social,2022-10-24,Unassigned,6,708.62,118.10333333333334,2024-07-23,2024-11-23,23,187,2024-11-25,509.0,3.0,298.25,99.41666666666667,47.0,1.91,210.94302554027504,3.0,2.0,3.0,323,8.0,Potential loyalists,No purchase
C00065,Customer 65,customer65@example.com,South,B2C,Organic,2022-03-23,Unassigned,12,2694.63,224.5525,2024-03-15,2024-11-03,9,81,2024-11-29,542.0,4.0,880.04,220.01,146.0,0.82,584.5284132841329,2.0,3.0,5.0,235,10.0,At-risk customers,No purchase
C00066,Customer 66,customer66@example.com,West,B2C,Email,2022-08-27,Unassigned,11,405.74,36.88545454545454,2024-04-08,2024-10-25,20,242,2024-12-09,515.0,5.0,166.92000000000002,33.384,140.0,1.07,116.68194174757284,3.0,4.0,2.0,342,9.0,Frequent low-spenders,No purchase
C00067,Customer 67,customer67@example.com,South,B2C,Referral,2022-04-14,Unassigned,6,676.36,112.72666666666667,2024-09-08,2024-12-24,20,215,2024-11-28,455.0,2.0,256.45,128.225,59.0,1.02,202.9054945054945,5.0,1.0,3.0,513,9.0,New customers,No purchase
C00068,Customer 68,customer68@example.com,South,B2C,Email,2023-01-25,Unassigned,4,497.66,124.415,2024-09-11,2024-11-11,12,169,2024-07-22,515.0,2.0,194.09,97.045,44.0,1.36,135.6745631067961,3.0,1.0,2.0,312,6.0,Potential loyalists,No purchase
C00069,Customer 69,customer69@example.com,West,B2C,Referral,2022-10-12,Unassigned,10,1400.42,140.042,2024-03-20,2024-09-22,24,278,2024-12-12,548.0,7.0,911.01,130.1442857142857,125.0,1.68,598.4737226277373,2.0,5.0,5.0,255,12.0,At-risk customers,No purchase
C00070,Customer 70,customer70@example.com,West,B2C,Paid,2023-04-10,Unassigned,2,170.2,85.1,2023-06-29,2023-08-27,23,245,2024-09-01,940.0,2.0,170.2,85.1,59.0,1.02,65.18297872340425,1.0,1.0,2.0,112,4.0,Lost / dormant,No purchase
C00071,Customer 71,customer71@example.com,North,B2B,Social,2023-10-13,Unassigned,13,436.37,33.566923076923075,2024-01-01,2024-11-05,7,82,2024-05-28,537.0,9.0,330.06,36.67333333333333,276.0,0.98,221.26927374301678,2.0,5.0,3.0,253,10.0,At-risk customers,No purchase
C00072,Customer 72,customer72@example.com,Central,B2B,Organic,2023-01-09,Unassigned,2,185.43,92.715,2024-11-09,2024-12-18,22,223,2024-12-23,500.0,1.0,94.83,94.83,0.0,1.0,68.27759999999999,4.0,1.0,1.0,411,6.0,New customers,No purchase
C00073,Customer 73,customer73@example.com,Central,B2C,Social,2022-06-16,Unassigned,3,217.77,72.59,2024-11-28,2024-12-13,18,227,2024-12-25,472.0,2.0,161.68,80.84,9.0,2.0,123.31525423728816,5.0,1.0,2.0,512,8.0,New customers,No purchase
C00074,Customer 74,customer74@example.com,South,B2C,Organic,2023-01-15,Unassigned,5,526.88,105.376,2024-05-23,2024-08-26,16,147,2024-10-03,575.0,4.0,389.31,97.3275,66.0,1.82,243.7419130434783,2.0,3.0,3.0,233,8.0,At-risk customers,No purchase
C00075,Customer 75,customer75@example.com,Central,B2B,Email,2022-12-30,Unassigned,6,470.47,78.41166666666668,2024-08-20,2024-12-09,7,56,2024-10-30,502.0,3.0,218.17000000000002,72.72333333333334,79.0,1.14,156.4565737051793,3.0,2.0,2.0,322,7.0,Potential loyalists,No purchase
C00076,Customer 76,customer76@example.com,South,B2C,Email,2022-08-03,Unassigned,1,94.59,94.59,2023-09-28,2023-09-28,5,47,2023-12-24,,,,,,,,,,,,,,No purchase
C00077,Customer 77,customer77@example.com,North,B2C,Organic,2023-11-18,Unassigned,16,2661.77,166.360625,2023-08-10,2024-11-23,4,23,2024-05-13,486.0,10.0,1934.15,193.41500000000002,322.0,0.93,1432.7037037037037,4.0,5.0,5.0,455,14.0,Champions,No purchase
C00078,Customer 78,customer78@example.com,West,B2C,Social,2022-10-01,Unassigned,5,381.8,76.36,2024-07-18,2024-09-05,22,216,2024-11-16,565.0,2.0,143.64,71.82,21.0,2.0,91.52283185840707,2.0,1.0,2.0,212,5.0,Lost / dormant,No purchase
C00079,Customer 79,customer79@example.com,West,B2C,Organic,2023-12-01,Unassigned,9,1181.89,131.32111111111112,2024-03-29,2024-11-10,16,100,2024-09-05,499.0,6.0,811.81,135.30166666666665,170.0,1.06,585.6745490981963,4.0,4.0,5.0,445,13.0,Champions,No purchase
C00080,Customer 80,customer80@example.com,West,B2C,Paid,2023-10-26,Unassigned,4,331.86,82.965,2024-06-11,2024-08-25,17,163,2024-11-27,576.0,3.0,262.9,87.63333333333333,75.0,1.2,164.3125,2.0,2.0,3.0,223,7.0,Potential loyalists,No purchase
C00081,Customer 81,customer81@example.com,Central,B2C,Email,2022-03-15,Unassigned,5,361.13,72.226,2024-06-24,2024-08-20,20,129,2024-12-28,581.0,4.0,295.83,73.9575,57.0,2.11,183.3025817555938,1.0,3.0,3.0,133,7.0,At-risk customers,No purchase
C00082,Customer 82,customer82@example.com,North,B2C,Paid,2023-09-16,Unassigned,2,203.87,101.935,2024-10-09,2024-10-10,13,127,2024-11-13,530.0,2.0,203.87,101.935,1.0,2.0,138.4777358490566,2.0,1.0,2.0,212,5.0,Lost / dormant,No purchase
C00083,Customer 83,customer83@example.com,Central,B2B,Email,2023-10-13,Unassigned,9,1997.19,221.91,2024-05-03,2024-12-24,12,142,2024-12-04,455.0,5.0,1107.1,221.42,235.0,0.64,875.9472527472526,5.0,4.0,5.0,545,14.0,Champions,No purchase
C00084,Customer 84,customer84@example.com,Central,B2C,Email,2022-06-25,Unassigned,4,416.44,104.11,2024-06-12,2024-08-20,25,271,2024-12-27,581.0,2.0,188.02,94.01,20.0,2.0,116.50120481927712,1.0,1.0,2.0,112,4.0,Lost / dormant,No purchase
C00085,Customer 85,customer85@example.com,North,B2C,Referral,2023-07-01,Unassigned,5,818.97,163.794,2024-07-07,2024-10-03,18,204,2024-12-29,537.0,2.0,305.07000000000005,152.53500000000003,14.0,2.0,204.5162011173185,2.0,1.0,3.0,213,6.0,Potential loyalists,No purchase
C00086,Customer 86,customer86@example.com,North,B2B,Paid,2022-09-08,Unassigned,7,1002.08,143.1542857142857,2024-05-08,2024-11-01,3,17,2024-10-06,508.0,4.0,652.1899999999999,163.04749999999999,86.0,1.4,462.18188976377945,3.0,3.0,4.0,334,10.0,Loyal customers,No purchase
C00087,Customer 87,customer87@example.com,North,B2C,Paid,2022-06-17,Unassigned,12,2147.44,178.95333333333335,2024-02-06,2024-12-01,20,232,2024-12-10,484.0,6.0,1176.8,196.13333333333333,161.0,1.12,875.3057851239669,4.0,4.0,5.0,445,13.0,Champions,No purchase
C00088,Customer 88,customer88@example.com,North,B2C,Referral,2023-04-19,Unassigned,8,986.78,123.3475,2024-08-03,2024-11-29,23,222,2024-10-14,490.0,5.0,583.12,116.624,89.0,1.69,428.414693877551,4.0,4.0,4.0,444,12.0,Champions,No purchase
C00089,Customer 89,customer89@example.com,Unknown,B2C,Social,2023-01-24,Unassigned,3,279.94,93.31333333333332,2024-10-21,2024-12-02,22,217,2024-12-11,519.0,1.0,66.32,66.32,0.0,1.0,46.00231213872832,3.0,1.0,1.0,311,5.0,Potential loyalists,No purchase
C00090,Customer 90,customer90@example.com,East,B2C,Paid,2022-10-04,Unassigned,1,65.95,65.95,2024-11-28,2024-11-28,14,177,2024-12-21,,,,,,,,,,,,,,No purchase
C00091,Customer 91,customer91@example.com,East,B2B,Organic,2023-10-18,Unassigned,6,558.26,93.04333333333334,2024-03-24,2024-09-04,7,71,2024-08-02,615.0,4.0,384.81,96.2025,115.0,1.04,225.25463414634146,1.0,3.0,3.0,133,7.0,At-risk customers,No purchase
C00092,Customer 92,customer92@example.com,North,B2C,Referral,2023-07-25,Unassigned,5,711.53,142.30599999999998,2024-04-02,2024-06-09,7,80,2024-07-01,684.0,2.0,315.02,157.51,37.0,1.62,165.79999999999998,1.0,1.0,3.0,113,5.0,Potential loyalists,No purchase
C00093,Customer 93,customer93@example.com,East,B2B,Paid,2022-08-13,Unassigned,2,147.38,73.69,2024-10-04,2024-11-25,16,191,2024-12-23,484.0,2.0,147.38,73.69,52.0,1.15,109.62148760330578,4.0,1.0,2.0,412,7.0,New customers,No purchase
C00094,Customer 94,customer94@example.com,East,B2C,Social,2022-11-29,Unassigned,4,218.55,54.6375,2024-08-16,2024-10-08,2,18,2024-04-30,532.0,2.0,89.43,44.715,46.0,1.3,60.51654135338346,2.0,1.0,1.0,211,4.0,Lost / dormant,No purchase
C00095,Customer 95,customer95@example.com,North,B2C,Paid,2022-02-27,Unassigned,3,267.04,89.01333333333334,2024-07-31,2024-09-05,15,183,2024-12-09,565.0,2.0,205.08,102.54,32.0,1.88,130.67044247787612,2.0,1.0,2.0,212,5.0,Lost / dormant,No purchase
C00096,Customer 96,customer96@example.com,East,B2C,Email,2022-08-23,Unassigned,3,314.9,104.96666666666664,2024-10-27,2024-12-15,1,15,2023-02-12,464.0,2.0,216.12,108.06,49.0,1.22,167.6793103448276,5.0,1.0,2.0,512,8.0,New customers,No purchase
C00097,Customer 97,customer97@example.com,Central,B2C,Organic,2022-02-02,Unassigned,5,340.66,68.13199999999999,2024-07-27,2024-10-25,14,137,2024-12-01,532.0,2.0,141.41,70.705,73.0,0.82,95.69097744360901,2.0,1.0,2.0,212,5.0,Lost / dormant,No purchase
C00098,Customer 98,customer98@example.com,South,B2C,Referral,2022-11-20,Unassigned,7,228.58,32.65428571428571,2024-07-17,2024-11-28,3,16,2022-11-01,481.0,6.0,218.16,36.36,134.0,1.34,163.2798336798337,5.0,4.0,2.0,542,11.0,Frequent low-spenders,No purchase
