customer_id,name,email,region,customer_type,lead_source,signup_date
C00033,Customer 33,customer33@example.com,,B2C,Organic,2023-03-09
C00034,Customer 34,customer34@example.com,North,B2B,Organic,2022-12-15
C00035,Customer 35,customer35@example.com,East,B2C,Email,2022-10-12
C00036,Customer 36,customer36@example.com,Central,B2C,Email,2022-06-09
C00037,Customer 37,customer37@example.com,East,B2C,Social,2022-08-09
C00038,Customer 38,customer38@example.com,Central,B2C,Email,2022-12-11
C00039,Customer 39,customer39@example.com,North,B2C,Paid,2022-04-15
C00040,Customer 40,customer40@example.com,South,B2B,Organic,2022-04-05
C00041,Customer 41,customer41@example.com,West,B2C,Organic,2023-01-25
C00042,Customer 42,customer42@example.com,North,B2C,Email,2022-04-10
C00043,Customer 43,customer43@example.com,West,B2C,Referral,2023-01-03
C00044,Customer 44,customer44@example.com,South,B2B,Referral,2022-12-19
C00045,Customer 45,customer45@example.com,South,B2C,Email,2023-09-11
C00046,Customer 46,customer46@example.com,North,B2B,Paid,2022-09-28
C00047,Customer 47,customer47@example.com,South,B2C,Referral,2022-02-14
C00048,Customer 48,customer48@example.com,Central,B2B,Email,2023-04-16
C00049,Customer 49,customer49@example.com,South,B2C,Paid,2023-07-04
C00050,Customer 50,customer50@example.com,West,B2C,Paid,2022-05-08
C00051,Customer 51,customer51@example.com,West,B2C,Social,2023-01-23
C00052,Customer 52,customer52@example.com,West,B2B,Paid,2022-03-22
C00053,Customer 53,customer53@example.com,West,B2C,Referral,2023-07-20
C00054,Customer 54,customer54@example.com,Central,B2C,Referral,2022-10-28
C00055,Customer 55,customer55@example.com,East,B2C,Email,2023-10-06
C00056,Customer 56,customer56@example.com,North,B2B,Email,2023-09-26
C00057,Customer 57,customer57@example.com,West,B2C,Paid,2023-01-06
C00058,Customer 58,customer58@example.com,South,B2B,Organic,2023-08-15
C00059,Customer 59,customer59@example.com,West,B2C,Social,2022-07-16
C00060,Customer 60,customer60@example.com,South,B2C,Organic,2022-03-13
C00061,Customer 61,customer61@example.com,South,B2C,Paid,2022-02-16
C00062,Customer 62,customer62@example.com,West,B2C,Paid,2023-11-09
C00063,Customer 63,customer63@example.com,Central,B2C,Organic,2022-08-22
C00064,Customer 64,customer64@example.com,South,B2C,Social,2022-10-24
C00065,Customer 65,customer65@example.com,South,B2C,Organic,2022-03-23
C00066,Customer 66,customer66@example.com,West,B2C,Email,2022-08-27
C00067,Customer 67,customer67@example.com,South,B2C,Referral,2022-04-14
C00068,Customer 68,customer68@example.com,South,B2C,Email,2023-01-25
C00069,Customer 69,customer69@example.com,West,B2C,Referral,2022-10-12
C00070,Customer 70,customer70@example.com,West,B2C,Paid,2023-04-10
C00071,Customer 71,customer71@example.com,North,B2B,Social,2023-10-13
C00072,Customer 72,customer72@example.com,Central,B2B,Organic,2023-01-09
C00073,Customer 73,customer73@example.com,Central,B2C,Social,2022-06-16
C00074,Customer 74,customer74@example.com,South,B2C,Organic,2023-01-15
C00075,Customer 75,customer75@example.com,Central,B2B,Email,2022-12-30
C00076,Customer 76,customer76@example.com,South,B2C,Email,2022-08-03
C00077,Customer 77,customer77@example.com,North,B2C,Organic,2023-11-18
C00078,Customer 78,customer78@example.com,West,B2C,Social,2022-10-01
C00079,Customer 79,customer79@example.com,West,B2C,Organic,2023-12-01
C00080,Customer 80,customer80@example.com,West,B2C,Paid,2023-10-26
C00081,Customer 81,customer81@example.com,Central,B2C,Email,2022-03-15
C00082,Customer 82,customer82@example.com,North,B2C,Paid,2023-09-16
C00083,Customer 83,customer83@example.com,Central,B2B,Email,2023-10-13
C00084,Customer 84,customer84@example.com,Central,B2C,Email,2022-06-25
C00085,Customer 85,customer85@example.com,North,B2C,Referral,2023-07-01
C00086,Customer 86,customer86@example.com,North,B2B,Paid,2022-09-08
C00087,Customer 87,customer87@example.com,North,B2C,Paid,2022-06-17
C00088,Customer 88,customer88@example.com,North,B2C,Referral,2023-04-19
C00089,Customer 89,customer89@example.com,,B2C,Social,2023-01-24
C00090,Customer 90,customer90@example.com,East,B2C,Paid,2022-10-04
C00091,Customer 91,customer91@example.com,East,B2B,Organic,2023-10-18
C00092,Customer 92,customer92@example.com,North,B2C,Referral,2023-07-25
C00093,Customer 93,customer93@example.com,East,B2B,Paid,2022-08-13
C00094,Customer 94,customer94@example.com,East,B2C,Social,2022-11-29
C00095,Customer 95,customer95@example.com,North,B2C,Paid,2022-02-27
C00096,Customer 96,customer96@example.com,East,B2C,Email,2022-08-23
C00097,Customer 97,customer97@example.com,Central,B2C,Organic,2022-02-02
C00098,Customer 98,customer98@example.com,South,B2C,Referral,2022-11-20
C00099,Customer 99,customer99@example.com,South,B2C,Email,2023-02-15
C00100,Customer 100,customer100@example.com,North,B2C,Social,2022-10-02
C00101,Customer 101,customer101@example.com,West,B2C,Email,2022-03-09
C00102,Customer 102,customer102@example.com,North,B2B,Email,2022-08-05
C00103,Customer 103,customer103@example.com,West,B2C,Social,2023-08-04
C00104,Customer 104,customer104@example.com,South,B2C,Email,2022-11-19
C00105,Customer 105,customer105@example.com,North,B2B,Referral,2022-08-06
C00106,Customer 106,customer106@example.com,Central,B2B,Paid,2023-11-03
C00107,Customer 107,customer107@example.com,East,B2C,Email,2023-05-27
C00108,Customer 108,customer108@example.com,West,B2B,Referral,2023-02-10
C00109,Customer 109,customer109@example.com,East,B2C,Paid,2023-10-21
C00110,Customer 110,customer110@example.com,East,B2C,Paid,2023-04-15
C00111,Customer 111,customer111@example.com,North,B2C,Email,2022-05-27
C00112,Customer 112,customer112@example.com,East,B2B,Referral,2022-09-29
C00113,Customer 113,customer113@example.com,Central,B2C,Email,2022-05-23
C00114,Customer 114,customer114@example.com,East,B2C,Social,2022-09-10
C00115,Customer 115,customer115@example.com,North,B2C,Paid,2023-07-29
C00116,Customer 116,customer116@example.com,Central,B2B,Email,2023-07-06
C00117,Customer 117,customer117@example.com,South,B2B,Paid,2022-09-27
C00118,Customer 118,customer118@example.com,East,B2C,Referral,2023-08-22
C00119,Customer 119,customer119@example.com,North,B2B,Organic,2023-03-15
C00120,Customer 120,customer120@example.com,South,B2C,Email,2023-08-21
C00121,Customer 121,customer121@example.com,South,B2C,Email,2023-02-13
C00122,Customer 122,customer122@example.com,West,B2C,Paid,2023-01-06
C00123,Customer 123,customer123@example.com,,B2C,Referral,2022-08-13
C00124,Customer 124,customer124@example.com,East,B2C,Social,2022-05-22
C00125,Customer 125,customer125@example.com,North,B2C,Referral,2023-06-06
C00126,Customer 126,customer126@example.com,West,B2C,Email,2023-05-21
C00127,Customer 127,customer127@example.com,Central,B2B,Social,2022-04-04
C00128,Customer 128,customer128@example.com,West,B2B,Referral,2022-02-18
C00129,Customer 129,customer129@example.com,Central,B2B,Organic,2022-04-23
C00130,Customer 130,customer130@example.com,Central,B2B,Paid,2022-06-06
C00131,Customer 131,customer131@example.com,East,B2C,Referral,2023-10-05
C00132,Customer 132,customer132@example.com,Central,B2C,Referral,2022-06-13
C00133,Customer 133,customer133@example.com,West,B2C,Organic,2023-11-28
C00134,Customer 134,customer134@example.com,Central,B2C,Email,2023-03-09
C00135,Customer 135,customer135@example.com,East,B2C,Paid,2023-09-03
C00136,Customer 136,customer136@example.com,East,B2C,Referral,2022-03-07
C00137,Customer 137,customer137@example.com,West,B2C,Social,2023-01-30
C00138,Customer 138,customer138@example.com,South,B2C,Referral,2023-01-26
C00139,Customer 139,customer139@example.com,South,B2C,Paid,2023-09-03
C00140,Customer 140,customer140@example.com,Central,B2C,Referral,2023-04-25
C00141,Customer 141,customer141@example.com,North,B2C,Organic,2023-06-26
C00142,Customer 142,customer142@example.com,Central,B2C,Referral,2022-09-15
C00143,Customer 143,customer143@example.com,West,B2C,Referral,2023-07-21
C00144,Customer 144,customer144@example.com,West,B2C,Social,2022-01-12
C00145,Customer 145,customer145@example.com,West,B2B,Organic,2023-11-28
C00146,Customer 146,customer146@example.com,West,B2C,Organic,2022-04-28
C00147,Customer 147,customer147@example.com,West,B2C,Referral,2023-11-30
C00148,Customer 148,customer148@example.com,East,B2B,Social,2023-07-04
C00149,Customer 149,customer149@example.com,South,B2C,Referral,2022-10-01
C00150,Customer 150,customer150@example.com,West,B2C,Referral,2023-10-19
C00151,Customer 151,customer151@example.com,North,B2C,Paid,2022-12-15
C00152,Customer 152,customer152@example.com,North,B2C,Paid,2022-04-25
C00153,Customer 153,customer153@example.com,North,B2C,Social,2022-10-28
C00154,Customer 154,customer154@example.com,North,B2C,Email,2023-03-22
C00155,Customer 155,customer155@example.com,East,B2B,Paid,2022-06-11
C00156,Customer 156,customer156@example.com,North,B2C,Email,2023-04-10
C00157,Customer 157,customer157@example.com,West,B2C,Organic,2022-01-04
C00158,Customer 158,customer158@example.com,Central,B2C,Paid,2022-09-27
C00159,Customer 159,customer159@example.com,North,B2C,Paid,2023-05-28
C00160,Customer 160,customer160@example.com,East,B2C,Social,2022-07-02
C00161,Customer 161,customer161@example.com,East,B2C,Email,2023-06-04
C00162,Customer 162,customer162@example.com,North,B2B,Paid,2022-04-19
C00163,Customer 163,customer163@example.com,Central,B2C,Paid,2023-10-03
C00164,Customer 164,customer164@example.com,North,B2C,Social,2022-11-02
C00165,Customer 165,customer165@example.com,East,B2C,Social,2023-10-17
C00166,Customer 166,customer166@example.com,South,B2C,Email,2023-06-04
C00167,Customer 167,customer167@example.com,West,B2C,Organic,2023-09-16
C00168,Customer 168,customer168@example.com,East,B2B,Organic,2022-07-23
C00169,Customer 169,customer169@example.com,,B2C,Referral,2022-06-06
C00170,Customer 170,customer170@example.com,,B2C,Paid,2023-01-18
C00171,Customer 171,customer171@example.com,North,B2B,Email,2022-06-15
C00172,Customer 172,customer172@example.com,North,B2C,Paid,2023-07-07
C00173,Customer 173,customer173@example.com,South,B2B,Email,2023-06-28
C00174,Customer 174,customer174@example.com,West,B2C,Email,2022-01-01
C00175,Customer 175,customer175@example.com,West,B2C,Email,2023-09-06
C00176,Customer 176,customer176@example.com,South,B2C,Paid,2022-11-28
C00177,Customer 177,customer177@example.com,East,B2C,Social,2023-05-16
C00178,Customer 178,customer178@example.com,North,B2C,Paid,2022-01-20
C00179,Customer 179,customer179@example.com,Central,B2C,Email,2022-04-25
C00180,Customer 180,customer180@example.com,North,B2C,Referral,2023-01-07
C00181,Customer 181,customer181@example.com,North,B2C,Organic,2022-11-11
C00182,Customer 182,customer182@example.com,East,B2C,Email,2022-09-03
C00183,Customer 183,customer183@example.com,North,B2B,Referral,2022-03-01
C00184,Customer 184,customer184@example.com,South,B2C,Social,2022-09-04
C00185,Customer 185,customer185@example.com,South,B2C,Email,2023-08-04
C00186,Customer 186,customer186@example.com,West,B2C,Referral,2022-03-22
C00187,Customer 187,customer187@example.com,Central,B2B,Email,2022-03-29
C00188,Customer 188,customer188@example.com,North,B2B,Paid,2023-05-13
C00189,Customer 189,customer189@example.com,,B2C,Referral,2022-03-12
C00190,Customer 190,customer190@example.com,East,B2C,Paid,2023-06-30
C00191,Customer 191,customer191@example.com,South,B2C,Paid,2022-05-09
C00192,Customer 192,customer192@example.com,Central,B2C,Referral,2022-05-12
C00193,Customer 193,customer193@example.com,West,B2C,Organic,2023-11-07
C00194,Customer 194,customer194@example.com,South,B2B,Referral,2023-05-02
C00195,Customer 195,customer195@example.com,West,B2C,Organic,2023-07-17
C00196,Customer 196,customer196@example.com,East,B2C,Email,2022-06-19
C00197,Customer 197,customer197@example.com,East,B2B,Email,2022-09-29
C00198,Customer 198,customer198@example.com,North,B2C,Referral,2023-06-25
C00199,Customer 199,customer199@example.com,Central,B2C,Email,2023-09-14
C00200,Customer 200,customer200@example.com,West,B2C,Social,2023-03-10
C00201,Customer 201,customer201@example.com,South,B2B,Paid,2022-08-05
C00202,Customer 202,customer202@example.com,East,B2C,Paid,2023-07-07
C00203,Customer 203,customer203@example.com,North,B2B,Organic,2022-07-25
C00204,Customer 204,customer204@example.com,North,B2B,Email,2022-11-16
C00205,Customer 205,customer205@example.com,West,B2C,Organic,2023-02-13
C00206,Customer 206,customer206@example.com,East,B2C,Paid,2023-11-19
C00207,Customer 207,customer207@example.com,Central,B2B,Paid,2023-10-28
C00208,Customer 208,customer208@example.com,East,B2C,Email,2023-01-18
C00209,Customer 209,customer209@example.com,West,B2B,Social,2023-03-25
C00210,Customer 210,customer210@example.com,West,B2B,Social,2023-06-14
C00211,Customer 211,customer211@example.com,East,B2C,Email,2023-04-08
C00212,Customer 212,customer212@example.com,West,B2C,Email,2022-05-04
C00213,Customer 213,customer213@example.com,East,B2B,Organic,2022-09-11
C00214,Customer 214,customer214@example.com,South,B2C,Email,2022-08-19
C00215,Customer 215,customer215@example.com,East,B2C,Social,2022-03-07
C00216,Customer 216,customer216@example.com,East,B2C,Email,2022-12-13
C00217,Customer 217,customer217@example.com,West,B2C,Organic,2022-01-22
C00218,Customer 218,customer218@example.com,West,B2B,Organic,2023-08-26
C00219,Customer 219,customer219@example.com,North,B2B,Organic,2023-07-22
C00220,Customer 220,customer220@example.com,North,B2C,Organic,2022-08-24
C00221,Customer 221,customer221@example.com,South,B2C,Referral,2023-08-26
C00222,Customer 222,customer222@example.com,North,B2C,Email,2022-08-14
C00223,Customer 223,customer223@example.com,East,B2B,Paid,2022-01-08
C00224,Customer 224,customer224@example.com,West,B2C,Email,2022-03-14
C00225,Customer 225,customer225@example.com,,B2C,Referral,2023-10-09
C00226,Customer 226,customer226@example.com,North,B2C,Organic,2022-03-02
C00227,Customer 227,customer227@example.com,South,B2C,Referral,2022-08-23
C00228,Customer 228,customer228@example.com,South,B2B,Social,2022-03-11
C00229,Customer 229,customer229@example.com,East,B2C,Social,2022-02-02
C00230,Customer 230,customer230@example.com,West,B2C,Email,2022-12-05
C00231,Customer 231,customer231@example.com,South,B2C,Email,2022-03-14
C00232,Customer 232,customer232@example.com,North,B2B,Paid,2023-06-11
C00233,Customer 233,customer233@example.com,West,B2C,Paid,2022-09-01
C00234,Customer 234,customer234@example.com,West,B2C,Social,2022-10-13
C00235,Customer 235,customer235@example.com,North,B2C,Organic,2023-11-17
C00236,Customer 236,customer236@example.com,South,B2B,Referral,2023-05-13
C00237,Customer 237,customer237@example.com,North,B2C,Paid,2022-08-08
C00238,Customer 238,customer238@example.com,West,B2C,Paid,2023-07-07
C00239,Customer 239,customer239@example.com,Central,B2C,Organic,2022-05-16
C00240,Customer 240,customer240@example.com,Central,B2B,Organic,2023-08-08
C00241,Customer 241,customer241@example.com,East,B2C,Email,2023-08-14
C00242,Customer 242,customer242@example.com,North,B2B,Referral,2023-04-30
C00243,Customer 243,customer243@example.com,North,B2C,Organic,2022-09-06
C00244,Customer 244,customer244@example.com,East,B2C,Paid,2023-04-30
C00245,Customer 245,customer245@example.com,East,B2C,Paid,2023-02-21
C00246,Customer 246,customer246@example.com,East,B2C,Social,2022-07-14
C00247,Customer 247,customer247@example.com,West,B2C,Organic,2022-04-07
C00248,Customer 248,customer248@example.com,North,B2B,Email,2022-04-10
C00249,Customer 249,customer249@example.com,West,B2C,Referral,2023-11-06
C00250,Customer 250,customer250@example.com,East,B2C,Email,2023-03-18
C00251,Customer 251,customer251@example.com,,B2B,Paid,2022-12-29
C00252,Customer 252,customer252@example.com,West,B2B,Email,2023-03-10
C00253,Customer 253,customer253@example.com,West,B2C,Paid,2023-02-25
C00254,Customer 254,customer254@example.com,East,B2C,Paid,2023-04-24
C00255,Customer 255,customer255@example.com,North,B2B,Paid,2022-02-25
C00256,Customer 256,customer256@example.com,East,B2C,Paid,2023-11-21
C00257,Customer 257,customer257@example.com,North,B2C,Paid,2023-11-01
C00258,Customer 258,customer258@example.com,Central,B2B,Social,2023-10-24
C00259,Customer 259,customer259@example.com,South,B2C,Email,2022-04-11
C00260,Customer 260,customer260@example.com,South,B2C,Social,2022-03-04
C00261,Customer 261,customer261@example.com,South,B2C,Social,2023-02-17
C00262,Customer 262,customer262@example.com,East,B2C,Organic,2022-12-14
C00263,Customer 263,customer263@example.com,Central,B2C,Organic,2022-04-22
C00264,Customer 264,customer264@example.com,North,B2C,Organic,2022-09-12
C00265,Customer 265,customer265@example.com,West,B2C,Referral,2022-07-16
C00266,Customer 266,customer266@example.com,North,B2B,Organic,2022-07-14
C00267,Customer 267,customer267@example.com,West,B2B,Email,2023-07-04
C00268,Customer 268,customer268@example.com,North,B2C,Social,2023-04-05
C00269,Customer 269,customer269@example.com,Central,B2C,Email,2022-05-24
C00270,Customer 270,customer270@example.com,West,B2C,Organic,2023-03-09
C00271,Customer 271,customer271@example.com,East,B2C,Referral,2022-07-07
C00272,Customer 272,customer272@example.com,North,B2B,Referral,2022-10-13
C00273,Customer 273,customer273@example.com,North,B2B,Social,2023-04-19
C00274,Customer 274,customer274@example.com,,B2C,Email,2022-09-13
C00275,Customer 275,customer275@example.com,East,B2B,Paid,2022-03-19
C00276,Customer 276,customer276@example.com,East,B2C,Email,2023-03-30
C00277,Customer 277,customer277@example.com,Central,B2C,Organic,2023-07-18
C00278,Customer 278,customer278@example.com,East,B2C,Paid,2022-04-11
C00279,Customer 279,customer279@example.com,East,B2B,Referral,2022-02-21
C00280,Customer 280,customer280@example.com,East,B2C,Social,2023-10-30
C00281,Customer 281,customer281@example.com,South,B2C,Social,2023-07-08
C00282,Customer 282,customer282@example.com,Central,B2B,Referral,2022-01-16
C00283,Customer 283,customer283@example.com,North,B2C,Organic,2022-04-06
C00284,Customer 284,customer284@example.com,West,B2C,Referral,2022-08-31
C00285,Customer 285,customer285@example.com,North,B2B,Organic,2022-06-20
C00286,Customer 286,customer286@example.com,Central,B2C,Paid,2023-02-21
C00287,Customer 287,customer287@example.com,,B2C,Referral,2023-05-13
C00288,Customer 288,customer288@example.com,Central,B2C,Organic,2023-05-08
C00289,Customer 289,customer289@example.com,East,B2C,Paid,2022-08-07
C00290,Customer 290,customer290@example.com,West,B2B,Referral,2023-02-15
C00291,Customer 291,customer291@example.com,East,B2C,Social,2022-03-02
C00292,Customer 292,customer292@example.com,North,B2C,Referral,2022-06-18
C00293,Customer 293,customer293@example.com,North,B2C,Email,2023-01-24
C00294,Customer 294,customer294@example.com,West,B2C,Referral,2022-01-03
C00295,Customer 295,customer295@example.com,West,B2C,Email,2023-02-04
C00296,Customer 296,customer296@example.com,Central,B2C,Paid,2022-09-29
C00297,Customer 297,customer297@example.com,Central,B2C,Referral,2023-04-11
C00298,Customer 298,customer298@example.com,East,B2C,Paid,2022-10-20
C00299,Customer 299,customer299@example.com,West,B2C,Paid,2023-03-10
C00300,Customer 300,customer300@example.com,North,B2C,Organic,2023-07-24
C00301,Customer 301,customer301@example.com,Central,B2C,Paid,2023-11-09
C00302,Customer 302,customer302@example.com,Central,B2C,Paid,2023-05-14
C00303,Customer 303,customer303@example.com,North,B2C,Referral,2022-06-08
C00304,Customer 304,customer304@example.com,Central,B2C,Referral,2022-07-14
C00305,Customer 305,customer305@example.com,East,B2C,Social,2022-10-31
C00306,Customer 306,customer306@example.com,West,B2B,Organic,2022-08-11
C00307,Customer 307,customer307@example.com,North,B2C,Paid,2022-03-01
C00308,Customer 308,customer308@example.com,West,B2C,Organic,2023-08-17
C00309,Customer 309,customer309@example.com,Central,B2B,Email,2023-07-10
C00310,Customer 310,customer310@example.com,Central,B2C,Paid,2022-03-04
C00311,Customer 311,customer311@example.com,North,B2C,Organic,2022-11-18
C00312,Customer 312,customer312@example.com,East,B2C,Social,2022-02-28
C00313,Customer 313,customer313@example.com,South,B2C,Social,2022-02-21
C00314,Customer 314,customer314@example.com,North,B2B,Paid,2023-08-22
C00315,Customer 315,customer315@example.com,South,B2C,Email,2023-05-04
C00316,Customer 316,customer316@example.com,South,B2B,Social,2023-05-30
C00317,Customer 317,customer317@example.com,East,B2C,Social,2023-06-28
C00318,Customer 318,customer318@example.com,South,B2C,Email,2022-06-11
C00319,Customer 319,customer319@example.com,South,B2C,Organic,2022-02-28
C00320,Customer 320,customer320@example.com,East,B2C,Social,2023-06-05
C00321,Customer 321,customer321@example.com,South,B2C,Referral,2022-03-24
C00322,Customer 322,customer322@example.com,South,B2B,Social,2022-07-10
C00323,Customer 323,customer323@example.com,South,B2C,Organic,2022-03-12
C00324,Customer 324,customer324@example.com,North,B2C,Organic,2023-09-02
C00325,Customer 325,customer325@example.com,North,B2C,Paid,2022-03-11
C00326,Customer 326,customer326@example.com,North,B2C,Referral,2023-11-23
C00327,Customer 327,customer327@example.com,East,B2C,Organic,2022-08-29
C00328,Customer 328,customer328@example.com,Central,B2B,Email,2023-02-18
C00329,Customer 329,customer329@example.com,South,B2C,Referral,2022-05-03
C00330,Customer 330,customer330@example.com,South,B2C,Referral,2023-08-07
C00331,Customer 331,customer331@example.com,East,B2C,Email,2022-09-10
C00332,Customer 332,customer332@example.com,South,B2B,Social,2023-08-16
C00333,Customer 333,customer333@example.com,North,B2B,Email,2023-09-01
C00334,Customer 334,customer334@example.com,Central,B2C,Email,2022-02-10
C00335,Customer 335,customer335@example.com,West,B2C,Social,2023-09-27
C00336,Customer 336,customer336@example.com,South,B2B,Social,2022-03-25
C00337,Customer 337,customer337@example.com,North,B2C,Social,2023-03-06
C00338,Customer 338,customer338@example.com,West,B2B,Social,2023-11-05
C00339,Customer 339,customer339@example.com,,B2C,Social,2023-08-21
C00340,Customer 340,customer340@example.com,West,B2C,Email,2023-08-02
C00341,Customer 341,customer341@example.com,North,B2B,Paid,2023-06-20
C00342,Customer 342,customer342@example.com,West,B2B,Paid,2022-11-20
C00343,Customer 343,customer343@example.com,East,B2C,Organic,2022-09-25
C00344,Customer 344,customer344@example.com,West,B2C,Paid,2022-07-29
C00345,Customer 345,customer345@example.com,South,B2C,Paid,2023-11-17
C00346,Customer 346,customer346@example.com,South,B2C,Email,2022-11-18
C00347,Customer 347,customer347@example.com,East,B2C,Social,2022-09-02
C00348,Customer 348,customer348@example.com,North,B2C,Social,2022-09-29
C00349,Customer 349,customer349@example.com,South,B2B,Email,2023-02-10
C00350,Customer 350,customer350@example.com,Central,B2C,Paid,2022-05-15
C00351,Customer 351,customer351@example.com,South,B2C,Email,2023-11-19
C00352,Customer 352,customer352@example.com,South,B2C,Organic,2023-10-23
C00353,Customer 353,customer353@example.com,North,B2C,Social,2022-11-04
C00354,Customer 354,customer354@example.com,,B2C,Referral,2023-04-14
C00355,Customer 355,customer355@example.com,South,B2B,Organic,2022-11-20
C00356,Customer 356,customer356@example.com,East,B2C,Organic,2022-03-16
C00357,Customer 357,customer357@example.com,West,B2B,Email,2022-01-10
C00358,Customer 358,customer358@example.com,Central,B2B,Paid,2023-04-15
C00359,Customer 359,customer359@example.com,North,B2C,Social,2023-09-29
C00360,Customer 360,customer360@example.com,Central,B2B,Referral,2023-07-31
C00361,Customer 361,customer361@example.com,West,B2B,Organic,2022-04-13
C00362,Customer 362,customer362@example.com,West,B2C,Referral,2022-03-17
C00363,Customer 363,customer363@example.com,West,B2C,Paid,2023-07-05
C00364,Customer 364,customer364@example.com,Central,B2C,Paid,2022-08-07
C00365,Customer 365,customer365@example.com,West,B2C,Referral,2023-06-03
C00366,Customer 366,customer366@example.com,Central,B2B,Social,2022-09-29
C00367,Customer 367,customer367@example.com,West,B2C,Paid,2022-05-16
C00368,Customer 368,customer368@example.com,East,B2B,Referral,2022-12-24
C00369,Customer 369,customer369@example.com,West,B2C,Organic,2022-03-12
C00370,Customer 370,customer370@example.com,Central,B2C,Referral,2022-09-08
C00371,Customer 371,customer371@example.com,South,B2B,Referral,2023-01-14
C00372,Customer 372,customer372@example.com,West,B2C,Email,2022-10-19
C00373,Customer 373,customer373@example.com,South,B2C,Paid,2022-06-11
C00374,Customer 374,customer374@example.com,East,B2C,Social,2023-03-25
C00375,Customer 375,customer375@example.com,North,B2C,Social,2023-07-11
C00376,Customer 376,customer376@example.com,East,B2C,Email,2022-11-06
C00377,Customer 377,customer377@example.com,West,B2C,Social,2023-09-19
C00378,Customer 378,customer378@example.com,South,B2C,Referral,2023-11-01
C00379,Customer 379,customer379@example.com,South,B2B,Email,2023-06-26
C00380,Customer 380,customer380@example.com,Central,B2C,Organic,2022-01-09
C00381,Customer 381,customer381@example.com,,B2C,Paid,2023-11-15
C00382,Customer 382,customer382@example.com,Central,B2C,Paid,2023-07-22
C00383,Customer 383,customer383@example.com,North,B2B,Paid,2022-11-03
C00384,Customer 384,customer384@example.com,West,B2C,Referral,2023-11-11
C00385,Customer 385,customer385@example.com,Central,B2C,Organic,2022-04-17
C00386,Customer 386,customer386@example.com,North,B2C,Email,2022-05-18
C00387,Customer 387,customer387@example.com,South,B2C,Email,2022-09-28
C00388,Customer 388,customer388@example.com,South,B2B,Paid,2022-04-29
C00389,Customer 389,customer389@example.com,North,B2C,Organic,2022-04-20
C00390,Customer 390,customer390@example.com,South,B2C,Organic,2023-07-21
C00391,Customer 391,customer391@example.com,North,B2C,Organic,2022-06-09
C00392,Customer 392,customer392@example.com,Central,B2C,Social,2022-10-06
C00393,Customer 393,customer393@example.com,Central,B2B,Social,2022-10-16
C00394,Customer 394,customer394@example.com,North,B2B,Paid,2023-09-12
C00395,Customer 395,customer395@example.com,Central,B2C,Organic,2022-08-04
C00396,Customer 396,customer396@example.com,Central,B2B,Organic,2022-12-18
C00397,Customer 397,customer397@example.com,Central,B2B,Email,2022-07-28
C00398,Customer 398,customer398@example.com,East,B2C,Email,2023-10-12
C00399,Customer 399,customer399@example.com,West,B2C,Paid,2022-09-28
C00400,Customer 400,customer400@example.com,South,B2C,Organic,2023-06-02
C00401,Customer 401,customer401@example.com,East,B2B,Paid,2023-05-16
